id;origen;fuente;no_enviar_email;no_llamar;compra;visitas_total;tiempo_en_site_total;paginas_vistas_visita;ult_actividad;ambito;ocupacion;conociste_google;conociste_revista;conociste_periodico;conociste_youtube;conociste_facebook;conociste_referencias;score_actividad;score_perfil;descarga_lm
660547;API;Organic Search;No;No;1;6;1012;6;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
660540;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
660534;API;Referral Sites;No;No;0;6;973;6;Email Link Clicked;Select;Unemployed;No;No;No;No;No;No;13;13;No
660522;Landing Page Submission;Google;No;No;1;6;1688;3;Page Visited on Website;Marketing Management;Unemployed;No;No;No;No;No;No;15;18;No
660509;API;Organic Search;No;No;0;3;98;3;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;14;15;No
660479;Landing Page Submission;Google;No;No;0;1;233;1;Unreachable;Media and Advertising;Unemployed;No;No;No;No;No;No;13;17;No
660478;API;Google;No;No;0;4;377;1.33;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;15;16;No
660471;Landing Page Submission;Google;No;No;1;1;1013;1;Converted to Lead;Banking, Investment And Insurance;Unemployed;No;No;No;No;No;No;15;20;No
660461;Landing Page Submission;Google;No;No;0;4;771;4;Email Link Clicked;Finance Management;Unemployed;No;No;No;No;No;No;14;18;No
660458;API;Google;No;No;1;6;1137;1.5;Email Opened;Marketing Management;Unemployed;No;No;No;No;No;No;14;18;Yes
660447;Landing Page Submission;Google;No;No;1;3;1068;3;Form Submitted on Website;Travel and Tourism;Unemployed;No;No;No;No;No;No;14;16;No
660432;Landing Page Submission;Organic Search;No;No;1;4;1000;2;Email Opened;Finance Management;Unemployed;No;No;No;No;No;No;11;18;Yes
660424;Landing Page Submission;Google;No;No;1;6;1315;6;Email Opened;Media and Advertising;Unemployed;No;No;No;No;No;No;15;19;No
660423;Landing Page Submission;Direct Traffic;No;No;0;5;182;5;Email Opened;Select;Student;No;No;No;No;No;No;13;18;No
660410;API;Google;No;No;1;3;78;3;Unreachable;International Business;Unemployed;No;No;No;No;No;No;16;18;No
660402;Landing Page Submission;Direct Traffic;No;No;1;7;1174;3.5;Email Opened;Human Resource Management;Unemployed;No;No;No;No;No;No;15;18;Yes
660374;API;Google;No;No;0;3;88;1.5;Email Opened;Select;Unemployed;No;No;No;No;No;No;13;15;No
660361;API;Referral Sites;No;No;0;4;223;2;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;15;13;No
660339;API;Organic Search;No;No;0;3;74;1.5;Email Opened;;;No;No;No;No;No;No;12;15;No
660333;Landing Page Submission;Organic Search;No;No;1;4;16;2;Page Visited on Website;E-COMMERCE;Unemployed;No;No;No;No;No;No;15;17;Yes
660321;API;Referral Sites;No;No;1;3;98;3;Email Opened;Human Resource Management;Unemployed;No;No;No;No;No;No;14;15;No
660312;Landing Page Submission;Google;No;No;0;4;1622;4;Unreachable;Operations Management;Unemployed;No;No;No;No;No;No;12;18;No
660267;Landing Page Submission;Google;No;No;1;5;563;5;Email Opened;Finance Management;Working Professional;No;No;No;No;No;No;13;20;No
660255;API;Google;No;No;0;2;310;2;Email Link Clicked;Select;Unemployed;No;No;No;No;No;No;14;15;No
660236;Landing Page Submission;Google;No;No;1;4;25;4;Email Opened;Operations Management;Unemployed;No;No;No;No;No;No;14;19;No
660235;API;Direct Traffic;No;No;0;3;342;3;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
660222;Landing Page Submission;Organic Search;Yes;No;0;7;38;7;Unsubscribed;Retail Management;Unemployed;No;No;No;No;No;No;13;18;Yes
660215;API;Google;No;No;0;5;199;5;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
660203;Landing Page Submission;Google;No;No;0;5;222;5;Email Opened;Finance Management;;No;No;No;No;No;No;13;18;No
660194;Landing Page Submission;Direct Traffic;No;No;0;6;275;3;Email Opened;Operations Management;Unemployed;No;No;No;No;No;No;10;18;Yes
660180;Landing Page Submission;Google;No;No;0;4;287;2;Email Opened;Marketing Management;Unemployed;No;No;No;No;No;No;13;18;No
660174;Landing Page Submission;Direct Traffic;No;No;0;2;547;2;Email Opened;Finance Management;Unemployed;No;No;No;No;No;No;15;20;Yes
660153;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
660149;API;Google;No;No;0;6;1225;6;Page Visited on Website;Supply Chain Management;Unemployed;No;No;No;No;No;No;12;15;No
660128;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
660087;API;Chat;No;No;1;0;0;0;Email Opened;Select;Unemployed;No;No;No;No;No;No;15;16;No
660070;Landing Page Submission;Google;No;No;0;5;160;5;Email Opened;Business Administration;Unemployed;No;No;No;No;No;No;17;18;No
660069;Landing Page Submission;Organic Search;No;No;0;6;394;2;Unreachable;E-COMMERCE;Unemployed;No;No;No;No;No;No;13;15;Yes
660050;API;Google;No;No;0;6;286;1.5;Chat Conversation;;;No;No;No;No;No;No;16;15;No
660048;API;Organic Search;No;No;0;7;96;2.33;Email Opened;;;No;No;No;No;No;No;13;15;No
660030;API;Organic Search;No;No;0;2;12;2;Email Opened;Select;Unemployed;No;No;No;No;No;No;15;15;No
659998;Landing Page Submission;Referral Sites;No;No;1;13;436;13;Form Submitted on Website;IT Projects Management;Unemployed;No;No;No;No;No;No;15;13;No
659963;API;Referral Sites;No;No;1;8;903;8;Page Visited on Website;Finance Management;Unemployed;No;No;No;No;No;No;16;15;No
659942;Landing Page Submission;Organic Search;No;No;0;17;409;8.5;Email Opened;Human Resource Management;Unemployed;No;No;No;No;No;No;14;18;Yes
659937;Landing Page Submission;Referral Sites;No;No;0;11;685;5.5;Email Opened;Services Excellence;Unemployed;No;No;No;No;No;No;11;13;Yes
659931;API;Google;No;No;0;4;213;4;Form Submitted on Website;International Business;Unemployed;No;No;No;No;No;No;13;16;No
659925;API;Chat;No;No;0;0;0;0;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
659918;API;Organic Search;No;No;1;7;1468;3.5;Page Visited on Website;Marketing Management;Unemployed;No;No;No;No;No;No;15;18;No
659896;API;Chat;No;No;0;0;0;0;Email Link Clicked;;;No;No;No;No;No;No;15;15;No
659889;Landing Page Submission;Direct Traffic;No;No;1;4;1435;4;Email Opened;Operations Management;Working Professional;No;No;No;No;No;No;12;18;Yes
659875;Landing Page Submission;Google;No;No;1;1;157;1;Converted to Lead;Hospitality Management;Unemployed;No;No;No;No;No;No;15;14;No
659853;API;Google;No;No;1;3;885;1.5;Had a Phone Conversation;Operations Management;Unemployed;No;No;No;No;No;No;15;18;No
659849;API;Chat;No;No;1;0;0;0;Email Opened;Select;Unemployed;No;No;No;No;No;No;15;16;No
659833;API;Chat;No;No;0;0;0;0;View in browser link Clicked;Finance Management;Unemployed;No;No;No;No;No;No;12;14;No
659830;API;Chat;No;No;0;0;0;0;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;15;15;No
659819;Landing Page Submission;Direct Traffic;No;No;0;1;1710;1;Converted to Lead;Retail Management;Unemployed;No;No;No;No;No;No;16;19;Yes
659820;Landing Page Submission;Direct Traffic;No;No;0;4;219;4;Email Opened;Business Administration;Unemployed;No;No;No;No;No;No;13;18;No
659806;Landing Page Submission;Referral Sites;Yes;No;0;3;111;3;Email Bounced;International Business;Unemployed;No;No;No;No;No;No;13;15;Yes
659784;API;Organic Search;No;No;0;6;224;6;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;14;15;No
659782;Landing Page Submission;Direct Traffic;No;No;0;5;224;1.67;Page Visited on Website;Operations Management;;No;No;No;No;No;No;13;17;Yes
659779;Landing Page Submission;Direct Traffic;No;No;1;2;1071;2;Email Opened;Marketing Management;Unemployed;No;No;No;No;No;No;12;17;Yes
659727;Landing Page Submission;Google;No;No;1;6;595;3;Email Opened;Banking, Investment And Insurance;Working Professional;No;No;No;No;No;No;14;20;No
659720;API;Referral Sites;No;No;0;4;520;4;Email Opened;Operations Management;Unemployed;No;No;No;No;No;No;10;15;No
659710;Lead Add Form;Reference;No;No;1;;705;;;Hospitality Management;Working Professional;No;No;No;No;No;No;14;16;No
659708;API;Google;No;No;0;2;393;2;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;14;No
659704;API;Chat;No;No;1;0;0;0;Email Link Clicked;Operations Management;Working Professional;No;No;No;No;No;No;15;16;No
659700;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
659696;Landing Page Submission;Google;No;No;1;3;1136;3;Page Visited on Website;IT Projects Management;Unemployed;No;No;No;No;No;No;16;15;No
659685;API;Referral Sites;No;No;0;3;335;3;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;13;No
659676;API;Referral Sites;No;No;0;4;75;4;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;13;No
659644;Landing Page Submission;Direct Traffic;No;No;0;6;97;3;Email Opened;Supply Chain Management;;No;No;No;No;No;No;15;18;Yes
659631;Lead Add Form;Reference;No;No;1;;1007;;;Human Resource Management;Unemployed;No;No;No;No;No;No;14;20;No
659630;Landing Page Submission;Organic Search;No;No;0;2;1085;2;Converted to Lead;Rural and Agribusiness;Unemployed;No;No;No;No;No;No;13;14;Yes
659614;API;Organic Search;No;No;0;3;214;3;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;15;15;No
659607;API;Chat;No;No;1;6;1158;1.5;Email Opened;Business Administration;Unemployed;No;No;No;No;No;No;15;14;Yes
659600;Landing Page Submission;Google;No;No;0;4;101;4;Email Opened;Finance Management;;No;No;No;No;No;No;15;18;No
659582;Landing Page Submission;Google;No;No;0;9;838;4.5;Email Opened;Healthcare Management;;No;No;No;No;No;No;13;15;No
659567;Landing Page Submission;Direct Traffic;No;No;0;3;536;3;Unreachable;Finance Management;Unemployed;No;No;No;No;No;No;9;18;Yes
659562;Landing Page Submission;Direct Traffic;No;No;0;4;161;2;Unreachable;Marketing Management;Unemployed;No;No;No;No;No;No;12;17;No
659555;Landing Page Submission;Google;No;No;0;2;511;2;Form Submitted on Website;Healthcare Management;Unemployed;No;No;No;No;No;No;9;15;No
659545;API;Chat;No;No;0;0;0;0;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;15;15;No
659523;API;Google;No;No;1;5;1110;5;Chat Conversation;Human Resource Management;Working Professional;No;No;No;No;No;No;16;16;No
659507;Landing Page Submission;Direct Traffic;No;No;1;5;1563;5;Email Opened;Finance Management;Unemployed;No;No;No;No;No;No;15;20;Yes
659492;API;Referral Sites;No;No;0;7;1633;3.5;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;14;13;No
659480;API;Chat;No;No;1;0;0;0;Email Opened;Select;Unemployed;No;No;No;No;No;No;15;15;No
659474;Landing Page Submission;Google;No;No;0;12;809;4;Unreachable;Finance Management;;No;No;No;No;No;No;13;18;No
659469;Landing Page Submission;Direct Traffic;No;No;0;2;638;2;Page Visited on Website;Healthcare Management;Unemployed;No;No;No;No;No;No;14;15;Yes
659463;API;Google;No;No;1;5;1196;5;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;15;15;No
659447;Landing Page Submission;Organic Search;No;No;0;6;1485;6;Email Opened;Supply Chain Management;Unemployed;No;No;No;No;No;No;14;16;Yes
659438;API;Google;No;No;0;9;125;3;Page Visited on Website;;;No;No;No;No;No;No;14;15;No
659437;API;Google;No;No;1;3;165;3;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;15;15;No
659411;Landing Page Submission;Google;No;No;0;6;398;3;Chat Conversation;E-COMMERCE;;No;No;No;No;No;No;15;15;Yes
659407;API;Organic Search;No;No;0;3;570;3;Converted to Lead;;;No;No;No;No;No;No;13;15;No
659395;Landing Page Submission;Organic Search;No;No;1;6;895;6;Email Opened;Operations Management;Unemployed;No;No;No;No;No;No;14;18;Yes
659371;Landing Page Submission;Google;No;No;1;4;1190;4;Email Opened;Human Resource Management;Unemployed;No;No;No;No;No;No;13;18;No
659369;Lead Add Form;Reference;No;No;1;0;0;0;Email Link Clicked;Business Administration;Working Professional;No;No;No;No;No;No;14;19;No
659366;API;Direct Traffic;No;No;0;5;1566;5;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;11;15;No
659364;API;Google;No;No;1;5;727;5;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
659357;Landing Page Submission;Google;No;No;0;8;652;4;Unreachable;Hospitality Management;Unemployed;No;No;No;No;No;No;13;15;No
659345;API;Organic Search;No;No;0;4;1248;1.33;Email Opened;;;No;No;No;No;No;No;13;15;No
659334;API;Google;No;No;0;2;767;2;Email Opened;Select;Unemployed;No;No;No;No;No;No;15;14;No
659293;API;Referral Sites;No;No;0;10;275;3.33;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;15;13;No
659287;API;Organic Search;No;No;0;3;273;3;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;14;15;No
659283;Lead Add Form;Reference;No;No;1;;1111;;;Marketing Management;Working Professional;No;No;No;No;No;No;14;18;No
659281;Landing Page Submission;Google;No;No;0;8;277;4;Email Opened;Finance Management;;No;No;No;No;No;No;14;18;No
659263;API;Organic Search;No;No;1;3;1207;1.5;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;16;15;No
659248;API;Google;No;No;0;2;39;1;Converted to Lead;;;No;No;No;No;No;No;16;15;No
659244;Landing Page Submission;Google;No;No;0;4;1638;4;Email Opened;Finance Management;Unemployed;No;No;No;No;No;No;12;18;Yes
659241;API;Referral Sites;No;No;0;16;53;16;Chat Conversation;;;No;No;No;No;No;No;15;13;No
659238;Landing Page Submission;Direct Traffic;No;No;0;1;127;1;Converted to Lead;Finance Management;Unemployed;No;No;No;No;No;No;16;18;Yes
659221;Landing Page Submission;Organic Search;Yes;No;0;5;100;5;Page Visited on Website;Supply Chain Management;Unemployed;No;No;No;No;No;No;15;18;Yes
659217;Landing Page Submission;Google;Yes;No;0;4;323;4;Unsubscribed;International Business;;No;No;No;No;No;No;13;18;No
659203;API;Google;No;No;1;2;160;1;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;16;15;No
659191;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;Marketing Management;Businessman;No;No;No;No;No;No;15;19;No
659182;API;Google;No;No;0;1;263;1;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;14;14;No
659170;API;Google;No;No;0;2;1218;2;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;11;15;No
659158;Lead Add Form;Reference;No;No;1;;986;;;Marketing Management;Working Professional;No;No;No;No;No;No;14;19;No
659146;Landing Page Submission;Google;No;No;1;5;1091;5;Unreachable;Finance Management;Unemployed;No;No;No;No;No;No;13;20;No
659142;Landing Page Submission;Direct Traffic;No;No;0;4;291;4;Chat Conversation;Supply Chain Management;;No;No;No;No;No;No;14;16;Yes
659141;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;Hospitality Management;Unemployed;No;No;No;No;No;No;15;16;No
659138;API;Google;Yes;No;0;1;1759;1;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;16;15;No
659132;Landing Page Submission;Referral Sites;No;No;0;7;41;3.5;Email Opened;Services Excellence;;No;No;No;No;No;No;14;14;Yes
659123;Landing Page Submission;Google;No;No;0;5;386;5;Email Opened;Business Administration;Unemployed;No;No;No;No;No;No;14;17;No
659117;API;Referral Sites;No;No;0;6;216;2;Page Visited on Website;;;No;No;No;No;No;No;14;13;No
659106;Landing Page Submission;Google;No;No;1;5;1603;5;Email Opened;Operations Management;Unemployed;No;No;No;No;No;No;14;20;No
659094;Landing Page Submission;google;No;No;0;7;106;3.5;Page Visited on Website;Select;;No;No;No;No;No;No;14;13;No
659079;API;Google;No;No;0;2;73;2;Unreachable;Select;Unemployed;No;No;No;No;No;No;12;15;No
659076;API;Google;No;No;0;2;77;2;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;13;15;No
659074;Landing Page Submission;Direct Traffic;No;No;0;3;718;3;Unreachable;Hospitality Management;;No;No;No;No;No;No;13;14;Yes
659069;Landing Page Submission;Google;No;No;0;5;432;1.67;Chat Conversation;Marketing Management;;No;No;No;No;No;No;14;18;No
659057;Landing Page Submission;Google;No;No;0;5;232;2.5;Email Opened;Human Resource Management;Unemployed;No;No;No;No;No;No;13;16;No
659050;Landing Page Submission;Direct Traffic;No;No;0;2;702;2;Email Opened;Hospitality Management;Unemployed;No;No;No;No;No;No;14;13;Yes
659038;Landing Page Submission;Organic Search;No;No;1;5;614;5;Unreachable;Finance Management;Unemployed;No;No;No;No;No;No;15;19;Yes
659036;Landing Page Submission;Direct Traffic;No;No;1;1;1808;1;Converted to Lead;IT Projects Management;;No;No;No;No;No;No;14;14;Yes
659016;Landing Page Submission;Direct Traffic;Yes;No;0;2;234;1;Email Bounced;Finance Management;Unemployed;No;No;No;No;No;No;15;18;Yes
659013;Landing Page Submission;Direct Traffic;No;No;0;3;245;3;Unreachable;Finance Management;Unemployed;No;No;No;No;No;No;13;17;Yes
658983;Landing Page Submission;Organic Search;No;No;1;8;1268;4;Email Opened;Operations Management;Unemployed;No;No;No;No;No;No;16;18;Yes
658976;Landing Page Submission;Google;No;No;0;2;56;2;Email Bounced;Select;Unemployed;No;No;No;No;No;No;12;15;No
658932;API;Referral Sites;No;No;0;4;174;2;Email Link Clicked;Select;Unemployed;No;No;No;No;No;No;13;13;No
658917;Landing Page Submission;Direct Traffic;No;No;0;4;1149;2;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;18;No
658888;Landing Page Submission;Direct Traffic;No;No;0;2;333;2;Email Opened;E-COMMERCE;;No;No;No;No;No;No;14;13;Yes
658856;API;Organic Search;No;No;0;7;471;2.33;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
658852;Landing Page Submission;Direct Traffic;No;No;1;3;1010;3;Email Opened;Supply Chain Management;Unemployed;No;No;No;No;No;No;15;16;Yes
658831;API;Chat;No;No;1;10;1815;3.33;Had a Phone Conversation;Operations Management;Unemployed;No;No;No;No;No;No;15;17;Yes
658828;Landing Page Submission;Direct Traffic;No;No;0;2;47;2;Email Link Clicked;Business Administration;Unemployed;No;No;No;No;No;No;14;16;Yes
658826;Landing Page Submission;Direct Traffic;No;No;1;3;1528;1.5;Email Opened;Operations Management;Unemployed;No;No;No;No;No;No;14;16;Yes
658793;Landing Page Submission;Google;No;No;1;6;919;6;Email Opened;Finance Management;Unemployed;No;No;No;No;No;No;14;20;No
658779;API;Organic Search;No;No;0;10;194;5;Email Link Clicked;Media and Advertising;Unemployed;No;No;No;No;No;No;13;15;No
658773;API;Organic Search;No;No;0;1;1173;1;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;14;15;No
658766;API;Google;No;No;0;2;351;2;Email Opened;Select;Unemployed;No;No;No;No;No;No;13;15;No
658756;Landing Page Submission;Referral Sites;No;No;0;12;493;12;Email Link Clicked;Marketing Management;;No;No;No;No;No;No;16;16;Yes
658744;Landing Page Submission;Direct Traffic;No;No;0;3;381;1.5;Page Visited on Website;Operations Management;Unemployed;No;No;No;No;No;No;13;17;Yes
658714;API;Referral Sites;No;No;0;2;1944;2;Email Opened;;;No;No;No;No;No;No;14;13;No
658689;Landing Page Submission;Google;No;No;0;5;65;5;Unreachable;Human Resource Management;Unemployed;No;No;No;No;No;No;13;17;No
658686;API;Organic Search;No;No;0;7;1334;7;Email Opened;Business Administration;;No;No;No;No;No;No;14;16;Yes
658677;API;Google;No;No;0;7;615;7;Form Submitted on Website;Banking, Investment And Insurance;;No;No;No;No;No;No;13;15;No
658675;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;Finance Management;Working Professional;No;No;No;No;No;No;14;20;No
658656;API;Google;No;No;0;1;250;1;Email Bounced;Select;Unemployed;No;No;No;No;No;No;13;15;No
658652;Landing Page Submission;Direct Traffic;No;No;0;2;383;2;Email Link Clicked;Business Administration;;No;No;No;No;No;No;14;16;Yes
658634;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;Banking, Investment And Insurance;Working Professional;No;No;No;No;No;No;14;19;No
658620;API;Chat;No;No;0;0;0;0;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
658618;API;Referral Sites;No;No;0;4;904;4;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;17;13;No
658612;API;Google;No;No;0;1;164;1;Converted to Lead;;;No;No;No;No;No;No;14;15;No
658606;API;Google;No;No;0;2;1793;2;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;11;15;No
658597;API;Organic Search;No;No;0;5;1841;5;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;15;15;No
658571;API;Organic Search;No;No;1;8;877;2.67;Email Link Clicked;Banking, Investment And Insurance;Unemployed;No;No;No;No;No;No;14;16;No
658561;Lead Add Form;Reference;No;No;1;0;0;0;Unreachable;Retail Management;Unemployed;No;No;No;No;No;No;14;20;No
658546;Landing Page Submission;Organic Search;No;No;1;12;1411;6;Email Opened;Finance Management;Unemployed;No;No;No;No;No;No;16;16;Yes
658531;API;Organic Search;No;No;1;6;385;6;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;15;16;No
658527;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
658481;API;Google;No;No;0;12;68;1.71;Page Visited on Website;Media and Advertising;;No;No;No;No;No;No;16;15;No
658470;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
658458;Landing Page Submission;Google;No;No;0;3;192;3;Email Opened;International Business;;No;No;No;No;No;No;14;17;No
658448;Landing Page Submission;Google;No;No;0;5;309;5;Chat Conversation;Finance Management;;No;No;No;No;No;No;15;18;No
658432;Lead Add Form;Reference;No;No;1;;785;;Approached upfront;Select;Unemployed;No;No;No;No;No;No;15;17;No
658430;API;Organic Search;No;No;0;4;342;4;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;15;No
658421;API;Google;No;No;0;2;78;1;Email Opened;Select;Unemployed;No;No;No;No;No;No;15;15;No
658407;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
658405;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No
658398;API;Organic Search;No;No;1;5;1234;1.67;Email Opened;International Business;Student;No;No;No;No;No;No;16;17;No
658353;API;Organic Search;No;No;0;8;14;8;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;15;15;No
658323;API;Chat;No;No;0;0;0;0;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;15;15;No
658322;API;Referral Sites;No;No;0;4;77;4;Unreachable;Select;Unemployed;No;No;No;No;No;No;12;13;No
658321;API;Referral Sites;No;No;1;3;1299;3;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;16;13;No
658309;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;Finance Management;Unemployed;No;No;No;No;No;No;14;19;No
658299;API;Referral Sites;No;No;0;2;457;2;Email Opened;Select;Unemployed;No;No;No;No;No;No;13;13;No
658288;API;Organic Search;No;No;0;5;358;5;Page Visited on Website;Select;Unemployed;No;No;No;No;No;No;15;15;No
658281;Landing Page Submission;Direct Traffic;No;No;0;3;481;3;Email Link Clicked;Banking, Investment And Insurance;;No;No;No;No;No;No;13;16;Yes
658278;API;Direct Traffic;No;No;0;2;205;2;Chat Conversation;Select;Unemployed;No;No;No;No;No;No;11;15;No
658277;Landing Page Submission;Direct Traffic;No;No;1;1;1106;1;Converted to Lead;Finance Management;Unemployed;No;No;No;No;No;No;15;16;Yes
658264;Landing Page Submission;Direct Traffic;No;No;1;9;1953;1.8;Email Opened;Supply Chain Management;Unemployed;No;No;No;No;No;No;15;17;No
658258;Lead Add Form;Reference;No;No;1;;1070;;;Marketing Management;Unemployed;No;No;No;No;No;No;14;18;No
658243;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;Select;Unemployed;No;No;No;No;No;No;14;17;No
658234;Landing Page Submission;Google;No;No;0;5;207;2.5;Form Submitted on Website;Finance Management;;No;No;No;No;No;No;12;18;No
658231;Landing Page Submission;Direct Traffic;No;No;1;2;1587;2;Email Opened;E-COMMERCE;Unemployed;No;No;No;No;No;No;14;13;No
658222;Landing Page Submission;Direct Traffic;No;No;1;2;1509;2;Email Opened;E-Business;Unemployed;No;No;No;No;No;No;10;18;Yes
658220;API;Organic Search;No;No;0;4;331;4;Unreachable;Select;Unemployed;No;No;No;No;No;No;12;15;No
658206;Landing Page Submission;Direct Traffic;No;No;0;4;187;4;Email Link Clicked;Human Resource Management;Unemployed;No;No;No;No;No;No;13;18;Yes
658203;API;Organic Search;No;No;1;3;1407;1.5;Converted to Lead;Human Resource Management;Unemployed;No;No;No;No;No;No;15;15;No
658193;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;Finance Management;Working Professional;No;No;No;No;No;No;15;18;No
658188;Landing Page Submission;Google;No;No;0;1;123;1;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;14;13;No
658178;API;Organic Search;No;No;0;1;100;1;Converted to Lead;Select;Unemployed;No;No;No;No;No;No;14;15;No
658142;Landing Page Submission;Direct Traffic;No;No;1;9;1164;4.5;Email Opened;Healthcare Management;Unemployed;No;No;No;No;No;No;16;15;Yes
658107;API;Chat;No;No;0;0;0;0;Email Opened;;;No;No;No;No;No;No;15;15;No
658089;Landing Page Submission;Direct Traffic;No;No;1;1;1362;1;Unreachable;Rural and Agribusiness;Unemployed;No;No;No;No;No;No;14;14;No
658081;API;Direct Traffic;No;No;0;7;1051;3.5;Chat Conversation;;;No;No;No;No;No;No;14;15;No
